comparison_place,size_class,municipality_key,population,start,end,duration_days,max_temp,avg_temp,year
Colonna,rural,058035,4240,2022-06-25,2022-06-27,3,37.4,35.8,2022
Colonna,rural,058035,4240,2022-06-29,2022-07-05,7,35.8,34.1,2022
Colonna,rural,058035,4240,2022-07-20,2022-07-24,5,35.0,34.5,2022
Colonna,rural,058035,4240,2023-07-08,2023-07-10,3,33.8,33.4,2023
Colonna,rural,058035,4240,2023-07-15,2023-07-19,5,36.8,35.4,2023
Colonna,rural,058035,4240,2023-08-17,2023-08-26,10,35.6,34.4,2023
Colonna,rural,058035,4240,2024-06-06,2024-06-08,3,30.8,29.6,2024
Colonna,rural,058035,4240,2024-06-17,2024-06-20,4,36.7,33.7,2024
Colonna,rural,058035,4240,2024-07-08,2024-07-18,11,36.4,34.7,2024
Colonna,rural,058035,4240,2024-07-26,2024-08-01,7,36.2,34.7,2024
Colonna,rural,058035,4240,2024-08-09,2024-08-14,6,34.4,34.0,2024
Colonna,rural,058035,4240,2024-08-28,2024-09-01,5,33.3,32.2,2024
Colonna,rural,058035,4240,2025-06-10,2025-06-15,6,33.0,32.0,2025
Colonna,rural,058035,4240,2025-06-18,2025-06-20,3,31.8,31.0,2025
Colonna,rural,058035,4240,2025-06-23,2025-07-04,12,35.6,33.5,2025
Colonna,rural,058035,4240,2025-08-07,2025-08-13,7,36.1,34.7,2025
Milano,large,015146,1354196,1982-07-09,1982-07-11,3,33.5,33.0,1982
Milano,large,015146,1354196,1983-07-18,1983-07-20,3,36.4,34.5,1983
Milano,large,015146,1354196,1983-07-25,1983-07-30,6,37.1,35.6,1983
Milano,large,015146,1354196,1987-09-16,1987-09-18,3,30.2,29.8,1987
Milano,large,015146,1354196,1991-06-23,1991-06-25,3,32.0,31.3,1991
Milano,large,015146,1354196,1991-07-02,1991-07-07,6,34.5,33.4,1991
Milano,large,015146,1354196,1991-07-10,1991-07-12,3,35.1,33.8,1991
Milano,large,015146,1354196,1991-08-10,1991-08-12,3,33.0,32.8,1991
Milano,large,015146,1354196,1991-08-24,1991-08-26,3,32.7,32.2,1991
Milano,large,015146,1354196,1993-06-06,1993-06-08,3,30.1,29.8,1993
Milano,large,015146,1354196,1993-08-15,1993-08-22,8,34.1,32.6,1993
Milano,large,015146,1354196,1994-06-29,1994-07-04,6,32.7,32.1,1994
Milano,large,015146,1354196,1994-08-02,1994-08-06,5,34.8,33.9,1994
Milano,large,015146,1354196,1994-08-19,1994-08-22,4,32.4,32.0,1994
Milano,large,015146,1354196,1996-06-03,1996-06-12,10,34.4,31.7,1996
Milano,large,015146,1354196,1998-07-20,1998-07-23,4,34.4,33.7,1998
Milano,large,015146,1354196,1998-08-07,1998-08-15,9,36.7,34.3,1998
Milano,large,015146,1354196,1999-07-02,1999-07-04,3,33.2,32.8,1999
Milano,large,015146,1354196,2001-05-27,2001-05-29,3,30.1,29.3,2001
Milano,large,015146,1354196,2001-06-23,2001-06-26,4,32.5,32.2,2001
Milano,large,015146,1354196,2001-07-29,2001-08-02,5,34.6,33.9,2001
Milano,large,015146,1354196,2001-08-23,2001-08-28,6,34.8,33.5,2001
Milano,large,015146,1354196,2002-06-14,2002-06-19,6,32.0,31.0,2002
Milano,large,015146,1354196,2002-06-21,2002-06-23,3,32.6,31.8,2002
Milano,large,015146,1354196,2003-06-04,2003-06-15,12,36.8,33.9,2003
Milano,large,015146,1354196,2003-06-17,2003-06-26,10,35.6,33.5,2003
Milano,large,015146,1354196,2003-07-09,2003-07-12,4,35.0,33.6,2003
Milano,large,015146,1354196,2003-07-17,2003-07-22,6,34.4,33.9,2003
Milano,large,015146,1354196,2003-08-01,2003-08-16,16,38.4,35.5,2003
Milano,large,015146,1354196,2003-08-21,2003-08-23,3,33.5,32.4,2003
Milano,large,015146,1354196,2004-06-07,2004-06-11,5,33.4,31.3,2004
Milano,large,015146,1354196,2004-07-20,2004-07-22,3,36.2,34.8,2004
Milano,large,015146,1354196,2005-05-26,2005-05-30,5,31.2,30.3,2005
Milano,large,015146,1354196,2005-06-17,2005-06-23,7,34.5,32.5,2005
Milano,large,015146,1354196,2005-06-25,2005-06-27,3,34.3,33.9,2005
Milano,large,015146,1354196,2005-07-27,2005-07-29,3,33.6,33.3,2005
Milano,large,015146,1354196,2006-06-12,2006-06-23,12,34.2,32.0,2006
Milano,large,015146,1354196,2006-07-18,2006-07-26,9,36.4,34.9,2006
Milano,large,015146,1354196,2007-05-20,2007-05-24,5,31.9,30.7,2007
Milano,large,015146,1354196,2007-07-14,2007-07-20,7,34.6,33.7,2007
Milano,large,015146,1354196,2009-05-22,2009-05-25,4,32.9,31.3,2009
Milano,large,015146,1354196,2009-06-12,2009-06-15,4,31.9,30.6,2009
Milano,large,015146,1354196,2009-08-16,2009-08-20,5,34.4,33.9,2009
Milano,large,015146,1354196,2010-07-01,2010-07-03,3,33.3,32.2,2010
Milano,large,015146,1354196,2010-07-14,2010-07-16,3,34.0,33.7,2010
Milano,large,015146,1354196,2011-05-20,2011-05-25,6,30.7,29.5,2011
Milano,large,015146,1354196,2011-08-18,2011-08-25,8,35.3,34.1,2011
Milano,large,015146,1354196,2012-08-17,2012-08-24,8,35.8,33.7,2012
Milano,large,015146,1354196,2013-07-24,2013-07-27,4,35.1,33.6,2013
Milano,large,015146,1354196,2013-08-02,2013-08-05,4,34.0,33.6,2013
Milano,large,015146,1354196,2014-06-06,2014-06-12,7,34.6,33.0,2014
Milano,large,015146,1354196,2015-06-03,2015-06-06,4,31.3,30.6,2015
Milano,large,015146,1354196,2015-07-01,2015-07-06,6,34.2,33.1,2015
Milano,large,015146,1354196,2015-07-11,2015-07-22,12,35.4,33.8,2015
Milano,large,015146,1354196,2015-08-05,2015-08-07,3,35.6,35.2,2015
Milano,large,015146,1354196,2017-05-27,2017-05-30,4,30.8,29.9,2017
