city,population,lat,lon,bundesland
Amsham,800,48.5047,13.0596,Bayern
Anzenkirchen,93,48.4257,13.0244,Bayern
Erlach,980,48.2957,13.058,Bayern
Obertürken,550,48.3191,12.8409,Bayern
Wiesing,402,48.3752,13.0678,Bayern
Neuhofen,550,48.4497,12.864,Bayern
Asenham,1185,48.4122,13.0729,Bayern
Ulbering,490,48.359,13.0388,Bayern
Walburgskirchen,664,48.3745,12.8956,Bayern
Neukirchen b. Pfarrkirchen,748,48.3732,12.9559,Bayern
Waldhof,290,48.4722,12.9767,Bayern
Zimmern,764,48.3366,12.8952,Bayern
Hirschbach,900,48.459,13.0241,Bayern
Brombach,459,48.4509,13.003,Bayern
Oberscheinfeld,1129,49.716666666,10.416666666,Bayern
Leuchtenberg,1103,49.6,12.25,Bayern
Schnabelwaid,929,49.816666666,11.566666666,Bayern
Steinwiesen,3333,50.294166666,11.461944444,Bayern
Elfershausen,2852,50.15,9.966666666,Bayern
Burgpreppach,1370,50.141666666,10.65,Bayern
Dietenhofen,5755,49.4,10.69,Bayern
Kaltental,1789,47.9,10.75,Bayern
Burgsinn,2333,50.15,9.65,Bayern
Oberthulba,5092,50.2,9.966666666,Bayern
Marktgraitz,1184,50.183333333,11.192222222,Bayern
Fischach,5105,48.290833333,10.653611111,Bayern
Colmberg,2181,49.366666666,10.416666666,Bayern
Willanzheim,1594,49.683333333,10.233333333,Bayern
Tettau,1965,50.47,11.258333333,Bayern
Emskirchen,6143,49.551388888,10.717777777,Bayern
Wonsees,1190,49.966666666,11.3,Bayern
Kleinlangheim,1664,49.766666666,10.266666666,Bayern
Hösbach,13323,50.0,9.2,Bayern
Ippesheim,1113,49.6025,10.224166666,Bayern
Tännesberg,1429,49.533333333,12.333333333,Bayern
Wildflecken,2914,50.366666666,9.916666666,Bayern
Großlangheim,1599,49.75,10.233333333,Bayern
Elsenfeld,9370,49.85,9.166666666,Bayern
Marktbergel,1609,49.45,10.366666666,Bayern
Obernzenn,2532,49.45,10.466666666,Bayern
Sulzthal,900,50.133333333,10.033333333,Bayern
Großostheim,16388,49.916666666,9.083333333,Bayern
Großheubach,5120,49.733333333,9.233333333,Bayern
Bad Bocklet,4777,50.266666666,10.083333333,Bayern
Thiersheim,1764,50.066666666,12.116666666,Bayern
Obernbreit,1685,49.65,10.166666666,Bayern
Stockstadt am Main,8203,49.979722222,9.063888888,Bayern
Neuhof an der Zenn,2228,49.456666666,10.643333333,Bayern
Markt Nordheim,1174,49.590833333,10.355,Bayern
Kasendorf,2469,50.036111111,11.350555555,Bayern
Nordhalben,1626,50.373611111,11.511111111,Bayern
Kirchenthumbach,3237,49.75,11.716666666,Bayern
Frammersbach,4602,50.066666666,9.466666666,Bayern
Pyrbaum,5832,49.298333333,11.289444444,Bayern
Dürrwangen,2588,49.116666666,10.366666666,Bayern
Burkardroth,7548,50.271944444,9.989444444,Bayern
Kleinwallstadt,5708,49.871666666,9.167777777,Bayern
Jettingen-Scheppach,7221,48.383333333,10.433333333,Bayern
Dachsbach,1797,49.640277777,10.706388888,Bayern
Schwarzach am Main,3683,49.8,10.233333333,Bayern
Marktzeuln,1631,50.166666666,11.167777777,Bayern
Rüdenhausen,909,49.766666666,10.35,Bayern
Maßbach,4415,50.183333333,10.283333333,Bayern
Dentlein am Forst,2376,49.133333333,10.416666666,Bayern
Presseck,1715,50.216666666,11.55,Bayern
Rentweinsdorf,1575,50.066666666,10.8,Bayern
Münsterhausen,2038,48.311666666,10.4525,Bayern
Markt Taschendorf,1041,49.7,10.55,Bayern
Ipsheim,2208,49.516666666,10.466666666,Bayern
Scheidegg,4424,47.582222222,9.848888888,Bayern
Kaisheim,4057,48.768333333,10.796388888,Bayern
Seinsheim,1075,49.641111111,10.221666666,Bayern
Baudenbach,1209,49.624444444,10.536944444,Bayern
Dombühl,2023,49.253333333,10.2875,Bayern
Bechhofen,6275,49.1637,10.5549,Bayern
Oberkotzau,5427,50.2625,11.933333333,Bayern
Marktrodach,3686,50.249444444,11.385833333,Bayern
Vestenbergsgreuth,1622,49.686944444,10.651111111,Bayern
Dinkelscherben,6819,48.35,10.583333333,Bayern
Painten,2287,49.0,11.816666666,Bayern
Hahnbach,5028,49.533611111,11.8025,Bayern
Ebensfeld,5613,50.066666666,10.949722222,Bayern
Schondra,1739,50.266666666,9.866666666,Bayern
Wirsberg,1893,50.106388888,11.606388888,Bayern
Wallerstein,3487,48.883333333,10.466666666,Bayern
Uehlfeld,3142,49.666666666,10.716666666,Bayern
Markt Einersheim,1245,49.683333333,10.3,Bayern
Eschlkam,3337,49.299788888,12.915655555,Bayern
Marktleugast,3090,50.166666666,11.616666666,Bayern
Maroldsweisach,3192,50.1975,10.663611111,Bayern
Flachslanden,2434,49.383333333,10.516666666,Bayern
Eckental,14770,49.574611111,11.205277777,Bayern
Weisendorf,6877,49.62253,10.82587,Bayern
Helmstadt,2682,49.766666666,9.716666666,Bayern
Pressig,3920,50.345555555,11.309444444,Bayern
Euerdorf,1531,50.15,10.033333333,Bayern
Eschau,4024,49.820277777,9.257222222,Bayern
Q503945,4171,48.75,11.85,Bayern
Marktschorgast,1399,50.1,11.65,Bayern
Vilsbiburg,12621,48.44745,12.3475,Bayern
Nördlingen,21053,48.85,10.5,Bayern
Bad Brückenau,6674,50.309111111,9.787111111,Bayern
Bad Berneck im Fichtelgebirge,4526,50.045638888,11.672380555,Bayern
Leutershausen,5689,49.29918,10.41172,Bayern
Marktbreit,3961,49.668319444,10.143580555,Bayern
Neunburg vorm Wald,8431,49.346666666,12.390833333,Bayern
Gaimersheim,12436,48.816666666,11.366666666,Bayern
Hilpoltstein,13953,49.183333333,11.183333333,Bayern
Bad Königshofen im Grabfeld,6176,50.299166666,10.466666666,Bayern
Heilsbronn,9832,49.338611111,10.790833333,Bayern
Röthenbach an der Pegnitz,12565,49.484722222,11.2475,Bayern
Eltmann,5538,49.9718,10.6666,Bayern
Ellingen,4045,49.060819444,10.967811111,Bayern
Greding,7309,49.051944444,11.360555555,Bayern
Bad Wörishofen,17683,48.005833333,10.596944444,Bayern
Feuchtwangen,12875,49.166666666,10.316666666,Bayern
Q529176,9506,49.196388888,12.268611111,Bayern
Hollfeld,4884,49.936944444,11.290833333,Bayern
Furth im Wald,8998,49.309722222,12.84,Bayern
Gefrees,4248,50.095277777,11.739722222,Bayern
Bärnau,3077,49.810277777,12.436111111,Bayern
Vaterstetten,25596,48.105,11.770555555,Bayern
Gößweinstein,4405,49.766666666,11.316666666,Bayern
Bischofsheim in der Rhön,4756,50.4,10.016666666,Bayern
Bad Aibling,19745,47.863888888,12.01,Bayern
Neutraubling,14614,48.987777777,12.196388888,Bayern
Burghausen,19494,48.166666666,12.833333333,Bayern
Alzenau,18787,50.08353,9.06691,Bayern
Eibelstadt,3135,49.723888888,10.000833333,Bayern
Ornbau,1697,49.177777777,10.655555555,Bayern
Gräfenberg,4248,49.644444444,11.249444444,Bayern
Nabburg,6349,49.453333333,12.180833333,Bayern
Markt Dietmannsried,8535,47.809444444,10.291111111,Bayern
Ebern,7365,50.09402,10.79515,Bayern
Beilngries,10282,49.03417,11.47256,Bayern
Rödental,12947,50.288305555,11.027611111,Bayern
Wörth an der Donau,5148,49.000833333,12.401111111,Bayern
Auerbach in der Oberpfalz,9127,49.692011111,11.633269444,Bayern
Arnstein,8272,49.97808,9.96889,Bayern
Stein,14851,49.416666666,11.016666666,Bayern
Pfreimd,5266,49.4929,12.1844,Bayern
Sulzbach-Rosenberg,19548,49.5,11.75,Bayern
Ostheim vor der Rhön,3358,50.466666666,10.216666666,Bayern
Schwandorf,30239,49.3236,12.09935,Bayern
Schwarzenbach am Wald,4301,50.283333333,11.620833333,Bayern
Schönsee,2360,49.516666666,12.55,Bayern
Amorbach,3914,49.64405,9.2215,Bayern
Neunkirchen am Brand,8141,49.616666666,11.133333333,Bayern
Erlenbach am Main,10335,49.803888888,9.163888888,Bayern
Uffenheim,6807,49.54385,10.23405,Bayern
Lindenberg im Allgäu,11741,47.603055555,9.886111111,Bayern
Langenzenn,10924,49.494444444,10.794722222,Bayern
Mellrichstadt,5599,50.4278,10.3027,Bayern
Burgkunstadt,6459,50.1356,11.2499,Bayern
Wörth am Main,4791,49.796388888,9.1575,Bayern
Seßlach,3942,50.183333333,10.833333333,Bayern
Pretzfeld,2383,49.75,11.166666666,Bayern
Hemau,9700,49.051944444,11.782777777,Bayern
Waldkraiburg,24604,48.216666666,12.4,Bayern
Fladungen,2190,50.521111111,10.145277777,Bayern
Münnerstadt,7556,50.252611111,10.196611111,Bayern
Altdorf bei Nürnberg,15746,49.3875,11.356944444,Bayern
Lauingen,11445,48.566666666,10.433333333,Bayern
Wiesenttal,2620,49.803008333,11.263002777,Bayern
Bad Rodach,6643,50.341111111,10.778611111,Bayern
Dinkelsbühl,12272,49.070833333,10.319444444,Bayern
